Date,Brent Crude Price
28-Mar-19,67.03
27-Mar-19,67.28
26-Mar-19,67.97
25-Mar-19,67.21
22-Mar-19,67.03
21-Mar-19,67.86
20-Mar-19,68.5
19-Mar-19,67.61
18-Mar-19,67.54
15-Mar-19,67.16
14-Mar-19,67.23
13-Mar-19,67.55
12-Mar-19,66.67
11-Mar-19,66.58
8-Mar-19,65.74
7-Mar-19,66.3
6-Mar-19,65.99
5-Mar-19,65.86
4-Mar-19,65.67
1-Mar-19,65.07
28-Feb-19,66.03
27-Feb-19,66.39
26-Feb-19,65.21
25-Feb-19,64.76
22-Feb-19,67.12
21-Feb-19,67.07
20-Feb-19,67.08
19-Feb-19,66.45
18-Feb-19,66.5
15-Feb-19,66.25
14-Feb-19,64.57
13-Feb-19,63.61
12-Feb-19,62.42
11-Feb-19,61.51
8-Feb-19,62.1
7-Feb-19,61.63
6-Feb-19,62.69
5-Feb-19,61.98
4-Feb-19,62.51
1-Feb-19,62.75
31-Jan-19,61.89
30-Jan-19,61.65
29-Jan-19,61.32
28-Jan-19,59.93
25-Jan-19,61.64
24-Jan-19,61.09
23-Jan-19,61.14
22-Jan-19,61.5
21-Jan-19,62.74
18-Jan-19,62.7
17-Jan-19,61.18
16-Jan-19,61.32
15-Jan-19,60.64
14-Jan-19,58.99
11-Jan-19,60.48
10-Jan-19,61.68
9-Jan-19,61.44
8-Jan-19,58.72
7-Jan-19,57.33
4-Jan-19,57.06
3-Jan-19,55.95
2-Jan-19,54.91
31-Dec-18,53.8
28-Dec-18,52.2
27-Dec-18,52.16
26-Dec-18,54.47
24-Dec-18,50.47
21-Dec-18,53.82
20-Dec-18,54.35
19-Dec-18,57.24
18-Dec-18,56.26
17-Dec-18,59.61
14-Dec-18,60.28
13-Dec-18,61.45
12-Dec-18,60.15
11-Dec-18,60.2
10-Dec-18,59.97
7-Dec-18,61.67
6-Dec-18,60.06
5-Dec-18,61.56
4-Dec-18,62.08
3-Dec-18,61.69
30-Nov-18,58.71
29-Nov-18,59.51
28-Nov-18,58.76
27-Nov-18,60.21
26-Nov-18,60.48
23-Nov-18,58.8
22-Nov-18,62.6
21-Nov-18,63.48
20-Nov-18,62.53
19-Nov-18,66.79
16-Nov-18,66.76
15-Nov-18,66.62
14-Nov-18,66.12
13-Nov-18,65.47
12-Nov-18,70.12
9-Nov-18,70.18
8-Nov-18,70.65
7-Nov-18,72.07
6-Nov-18,72.13
5-Nov-18,73.17
2-Nov-18,72.83
1-Nov-18,72.89
31-Oct-18,75.47
30-Oct-18,75.91
29-Oct-18,77.34
26-Oct-18,77.62
25-Oct-18,76.89
24-Oct-18,76.17
23-Oct-18,76.44
22-Oct-18,79.83
19-Oct-18,79.78
18-Oct-18,79.29
17-Oct-18,80.05
16-Oct-18,81.41
