Date,Dow Price
21-Jun-19,"26,719.13"
20-Jun-19,"26,753.17"
19-Jun-19,"26,504.00"
18-Jun-19,"26,465.54"
17-Jun-19,"26,112.53"
14-Jun-19,"26,089.61"
13-Jun-19,"26,106.77"
12-Jun-19,"26,004.83"
11-Jun-19,"26,048.51"
10-Jun-19,"26,062.68"
7-Jun-19,"25,983.94"
6-Jun-19,"25,720.66"
5-Jun-19,"25,539.57"
4-Jun-19,"25,332.18"
3-Jun-19,"24,819.78"
31-May-19,"24,815.04"
30-May-19,"25,169.88"
29-May-19,"25,126.41"
28-May-19,"25,347.77"
24-May-19,"25,585.69"
23-May-19,"25,490.47"
22-May-19,"25,776.61"
21-May-19,"25,877.33"
20-May-19,"25,679.90"
17-May-19,"25,764.00"
16-May-19,"25,862.68"
15-May-19,"25,648.02"
14-May-19,"25,532.05"
13-May-19,"25,324.99"
10-May-19,"25,942.37"
9-May-19,"25,828.36"
8-May-19,"25,967.33"
7-May-19,"25,965.09"
6-May-19,"26,438.48"
3-May-19,"26,504.95"
2-May-19,"26,307.79"
1-May-19,"26,430.14"
30-Apr-19,"26,592.91"
29-Apr-19,"26,554.39"
26-Apr-19,"26,543.33"
25-Apr-19,"26,462.08"
24-Apr-19,"26,597.05"
23-Apr-19,"26,656.39"
22-Apr-19,"26,511.05"
18-Apr-19,"26,559.54"
17-Apr-19,"26,449.54"
16-Apr-19,"26,452.66"
15-Apr-19,"26,384.77"
12-Apr-19,"26,412.30"
11-Apr-19,"26,143.05"
10-Apr-19,"26,157.16"
9-Apr-19,"26,150.58"
8-Apr-19,"26,341.02"
5-Apr-19,"26,424.99"
4-Apr-19,"26,384.63"
3-Apr-19,"26,218.13"
2-Apr-19,"26,179.13"
1-Apr-19,"26,258.42"
29-Mar-19,"25,928.68"
28-Mar-19,"25,717.46"
27-Mar-19,"25,625.59"
26-Mar-19,"25,657.73"
25-Mar-19,"25,516.83"
22-Mar-19,"25,502.32"
21-Mar-19,"25,962.51"
20-Mar-19,"25,745.67"
19-Mar-19,"25,887.38"
18-Mar-19,"25,914.10"
15-Mar-19,"25,848.87"
14-Mar-19,"25,709.94"
13-Mar-19,"25,702.89"
12-Mar-19,"25,554.66"
11-Mar-19,"25,650.88"
8-Mar-19,"25,450.24"
7-Mar-19,"25,473.23"
6-Mar-19,"25,673.46"
5-Mar-19,"25,806.63"
4-Mar-19,"25,819.65"
1-Mar-19,"26,026.32"
28-Feb-19,"25,916.00"
27-Feb-19,"25,985.16"
26-Feb-19,"26,057.98"
25-Feb-19,"26,091.95"
22-Feb-19,"26,031.81"
21-Feb-19,"25,850.63"
20-Feb-19,"25,954.44"
19-Feb-19,"25,891.32"
15-Feb-19,"25,883.25"
14-Feb-19,"25,439.39"
13-Feb-19,"25,543.27"
12-Feb-19,"25,425.76"
11-Feb-19,"25,053.11"
8-Feb-19,"25,106.33"
7-Feb-19,"25,169.53"
6-Feb-19,"25,390.30"
5-Feb-19,"25,411.52"
4-Feb-19,"25,239.37"
1-Feb-19,"25,063.89"
31-Jan-19,"24,999.67"
30-Jan-19,"25,014.86"
29-Jan-19,"24,579.96"
28-Jan-19,"24,528.22"
25-Jan-19,"24,737.20"
24-Jan-19,"24,553.24"
23-Jan-19,"24,575.62"
22-Jan-19,"24,404.48"
18-Jan-19,"24,706.35"
17-Jan-19,"24,370.10"
16-Jan-19,"24,207.16"
15-Jan-19,"24,065.59"
14-Jan-19,"23,909.84"
11-Jan-19,"23,995.95"
10-Jan-19,"24,001.92"
9-Jan-19,"23,879.12"
8-Jan-19,"23,787.45"
7-Jan-19,"23,531.35"
4-Jan-19,"23,433.16"
3-Jan-19,"22,686.22"
2-Jan-19,"23,346.24"
31-Dec-18,"23,327.46"
28-Dec-18,"23,062.40"
27-Dec-18,"23,138.82"
26-Dec-18,"22,878.45"
24-Dec-18,"21,792.20"
21-Dec-18,"22,445.37"
20-Dec-18,"22,859.60"
19-Dec-18,"23,323.66"
18-Dec-18,"23,675.64"
17-Dec-18,"23,592.98"
14-Dec-18,"24,100.51"
13-Dec-18,"24,597.38"
12-Dec-18,"24,527.27"
11-Dec-18,"24,370.24"
10-Dec-18,"24,423.26"
7-Dec-18,"24,388.95"
6-Dec-18,"24,947.67"
4-Dec-18,"25,027.07"
3-Dec-18,"25,826.43"
30-Nov-18,"25,538.46"
29-Nov-18,"25,338.84"
28-Nov-18,"25,366.43"
27-Nov-18,"24,748.73"
26-Nov-18,"24,640.24"
23-Nov-18,"24,285.95"
21-Nov-18,"24,464.69"
20-Nov-18,"24,465.64"
19-Nov-18,"25,017.44"
16-Nov-18,"25,413.22"
15-Nov-18,"25,289.27"
14-Nov-18,"25,080.50"
13-Nov-18,"25,286.49"
12-Nov-18,"25,387.18"
9-Nov-18,"25,989.30"
8-Nov-18,"26,191.22"
7-Nov-18,"26,180.30"
6-Nov-18,"25,635.01"
5-Nov-18,"25,461.70"
2-Nov-18,"25,270.83"
1-Nov-18,"25,380.74"
31-Oct-18,"25,115.76"
30-Oct-18,"24,874.64"
29-Oct-18,"24,442.92"
26-Oct-18,"24,688.31"
25-Oct-18,"24,984.55"
24-Oct-18,"24,583.42"
23-Oct-18,"25,191.43"
22-Oct-18,"25,317.41"
19-Oct-18,"25,444.34"
18-Oct-18,"25,379.45"
17-Oct-18,"25,706.68"
16-Oct-18,"25,798.42"
15-Oct-18,"25,250.55"
12-Oct-18,"25,339.99"
11-Oct-18,"25,052.83"
10-Oct-18,"25,598.74"
9-Oct-18,"26,430.57"
8-Oct-18,"26,486.78"
5-Oct-18,"26,447.05"
4-Oct-18,"26,627.48"
3-Oct-18,"26,828.39"
2-Oct-18,"26,773.94"
1-Oct-18,"26,651.21"
28-Sep-18,"26,458.31"
27-Sep-18,"26,439.93"
26-Sep-18,"26,385.28"
25-Sep-18,"26,492.21"
24-Sep-18,"26,562.05"
21-Sep-18,"26,743.50"
20-Sep-18,"26,656.98"
19-Sep-18,"26,405.76"
18-Sep-18,"26,246.96"
17-Sep-18,"26,062.12"
14-Sep-18,"26,154.67"
13-Sep-18,"26,145.99"
12-Sep-18,"25,998.92"
11-Sep-18,"25,971.06"
10-Sep-18,"25,857.07"
7-Sep-18,"25,916.54"
6-Sep-18,"25,995.87"
5-Sep-18,"25,974.99"
4-Sep-18,"25,952.48"
31-Aug-18,"25,964.82"
30-Aug-18,"25,986.92"
29-Aug-18,"26,124.57"
28-Aug-18,"26,064.02"
27-Aug-18,"26,049.64"
24-Aug-18,"25,790.35"
23-Aug-18,"25,656.98"
22-Aug-18,"25,733.60"
21-Aug-18,"25,822.29"
20-Aug-18,"25,758.69"
17-Aug-18,"25,669.32"
16-Aug-18,"25,558.73"
15-Aug-18,"25,162.41"
