Date,FTSE
27-Mar-19,"7,194.19"
26-Mar-19,"7,196.29"
25-Mar-19,"7,177.58"
22-Mar-19,"7,207.59"
21-Mar-19,"7,355.31"
20-Mar-19,"7,291.01"
19-Mar-19,"7,324.00"
18-Mar-19,"7,299.19"
15-Mar-19,"7,228.28"
14-Mar-19,"7,185.43"
13-Mar-19,"7,159.19"
12-Mar-19,"7,151.15"
11-Mar-19,"7,130.62"
8-Mar-19,"7,104.31"
7-Mar-19,"7,157.55"
6-Mar-19,"7,196.00"
5-Mar-19,"7,183.43"
4-Mar-19,"7,134.39"
1-Mar-19,"7,106.73"
28-Feb-19,"7,074.73"
27-Feb-19,"7,107.20"
26-Feb-19,"7,151.12"
25-Feb-19,"7,183.74"
22-Feb-19,"7,178.60"
21-Feb-19,"7,167.39"
20-Feb-19,"7,228.62"
19-Feb-19,"7,179.17"
18-Feb-19,"7,219.47"
15-Feb-19,"7,236.68"
14-Feb-19,"7,197.01"
13-Feb-19,"7,190.84"
12-Feb-19,"7,133.14"
11-Feb-19,"7,129.11"
8-Feb-19,"7,071.18"
7-Feb-19,"7,093.58"
6-Feb-19,"7,173.09"
5-Feb-19,"7,177.37"
4-Feb-19,"7,034.13"
1-Feb-19,"7,020.22"
31-Jan-19,"6,968.85"
30-Jan-19,"6,941.63"
29-Jan-19,"6,833.93"
28-Jan-19,"6,747.10"
25-Jan-19,"6,809.22"
24-Jan-19,"6,818.95"
23-Jan-19,"6,842.88"
22-Jan-19,"6,901.39"
21-Jan-19,"6,970.59"
18-Jan-19,"6,968.33"
17-Jan-19,"6,834.92"
16-Jan-19,"6,862.68"
15-Jan-19,"6,895.02"
14-Jan-19,"6,855.02"
11-Jan-19,"6,918.18"
10-Jan-19,"6,942.87"
9-Jan-19,"6,906.63"
8-Jan-19,"6,861.60"
7-Jan-19,"6,810.88"
4-Jan-19,"6,837.42"
3-Jan-19,"6,692.66"
2-Jan-19,"6,734.23"
31-Dec-18,"6,728.13"
28-Dec-18,"6,733.97"
27-Dec-18,"6,584.68"
24-Dec-18,"6,685.99"
21-Dec-18,"6,721.17"
20-Dec-18,"6,711.93"
19-Dec-18,"6,765.94"
18-Dec-18,"6,701.59"
17-Dec-18,"6,773.24"
14-Dec-18,"6,845.17"
13-Dec-18,"6,877.50"
12-Dec-18,"6,880.19"
11-Dec-18,"6,806.94"
10-Dec-18,"6,721.54"
7-Dec-18,"6,778.11"
6-Dec-18,"6,704.05"
5-Dec-18,"6,921.84"
4-Dec-18,"7,022.76"
3-Dec-18,"7,062.41"
30-Nov-18,"6,980.24"
29-Nov-18,"7,038.95"
28-Nov-18,"7,004.52"
27-Nov-18,"7,016.85"
26-Nov-18,"7,036.00"
23-Nov-18,"6,952.86"
22-Nov-18,"6,960.32"
21-Nov-18,"7,050.23"
20-Nov-18,"6,947.92"
19-Nov-18,"7,000.89"
16-Nov-18,"7,013.88"
15-Nov-18,"7,038.01"
14-Nov-18,"7,033.79"
13-Nov-18,"7,053.76"
12-Nov-18,"7,053.08"
9-Nov-18,"7,105.34"
8-Nov-18,"7,140.68"
7-Nov-18,"7,117.28"
6-Nov-18,"7,040.68"
5-Nov-18,"7,103.84"
2-Nov-18,"7,094.12"
1-Nov-18,"7,114.66"
31-Oct-18,"7,128.10"
30-Oct-18,"7,035.85"
29-Oct-18,"7,026.32"
26-Oct-18,"6,939.56"
