Date,Hang Seng Price
28-Mar-19,"28,821.00"
27-Mar-19,"28,728.25"
26-Mar-19,"28,566.91"
25-Mar-19,"28,523.35"
22-Mar-19,"29,113.36"
21-Mar-19,"29,071.56"
20-Mar-19,"29,320.97"
19-Mar-19,"29,466.28"
18-Mar-19,"29,409.01"
15-Mar-19,"29,012.26"
14-Mar-19,"28,851.39"
13-Mar-19,"28,807.45"
12-Mar-19,"28,920.87"
11-Mar-19,"28,503.30"
8-Mar-19,"28,228.42"
7-Mar-19,"28,779.45"
6-Mar-19,"29,037.60"
5-Mar-19,"28,961.60"
4-Mar-19,"28,959.59"
1-Mar-19,"28,812.17"
28-Feb-19,"28,633.18"
27-Feb-19,"28,757.44"
26-Feb-19,"28,772.06"
25-Feb-19,"28,959.30"
22-Feb-19,"28,816.30"
21-Feb-19,"28,629.92"
20-Feb-19,"28,514.05"
19-Feb-19,"28,228.13"
18-Feb-19,"28,347.01"
15-Feb-19,"27,900.84"
14-Feb-19,"28,432.05"
13-Feb-19,"28,497.59"
12-Feb-19,"28,171.33"
11-Feb-19,"28,143.84"
8-Feb-19,"27,946.32"
4-Feb-19,"27,990.21"
1-Feb-19,"27,930.74"
31-Jan-19,"27,942.47"
30-Jan-19,"27,642.85"
29-Jan-19,"27,531.68"
28-Jan-19,"27,576.96"
25-Jan-19,"27,569.19"
24-Jan-19,"27,120.98"
23-Jan-19,"27,008.20"
22-Jan-19,"27,005.45"
21-Jan-19,"27,196.54"
18-Jan-19,"27,090.81"
17-Jan-19,"26,755.63"
16-Jan-19,"26,902.10"
15-Jan-19,"26,830.29"
14-Jan-19,"26,298.33"
11-Jan-19,"26,667.27"
10-Jan-19,"26,521.43"
9-Jan-19,"26,462.32"
8-Jan-19,"25,875.45"
7-Jan-19,"25,835.70"
4-Jan-19,"25,626.03"
3-Jan-19,"25,064.36"
2-Jan-19,"25,130.35"
31-Dec-18,"25,845.70"
28-Dec-18,"25,504.20"
27-Dec-18,"25,478.88"
24-Dec-18,"25,651.38"
21-Dec-18,"25,753.42"
20-Dec-18,"25,623.53"
19-Dec-18,"25,865.39"
18-Dec-18,"25,814.25"
17-Dec-18,"26,087.98"
14-Dec-18,"26,094.79"
13-Dec-18,"26,524.35"
12-Dec-18,"26,186.71"
11-Dec-18,"25,771.67"
10-Dec-18,"25,752.38"
7-Dec-18,"26,063.76"
6-Dec-18,"26,156.38"
5-Dec-18,"26,819.68"
4-Dec-18,"27,260.44"
3-Dec-18,"27,182.04"
30-Nov-18,"26,506.75"
29-Nov-18,"26,451.03"
28-Nov-18,"26,682.56"
27-Nov-18,"26,331.96"
26-Nov-18,"26,376.18"
23-Nov-18,"25,927.68"
22-Nov-18,"26,019.41"
21-Nov-18,"25,971.47"
20-Nov-18,"25,840.34"
19-Nov-18,"26,372.00"
16-Nov-18,"26,183.53"
15-Nov-18,"26,103.34"
14-Nov-18,"25,654.43"
13-Nov-18,"25,792.87"
12-Nov-18,"25,633.18"
9-Nov-18,"25,601.92"
8-Nov-18,"26,227.72"
7-Nov-18,"26,147.69"
6-Nov-18,"26,120.96"
5-Nov-18,"25,934.39"
2-Nov-18,"26,486.35"
1-Nov-18,"25,416.00"
31-Oct-18,"24,979.69"
30-Oct-18,"24,585.53"
29-Oct-18,"24,812.04"
26-Oct-18,"24,717.63"
25-Oct-18,"24,994.46"
24-Oct-18,"25,249.78"
23-Oct-18,"25,346.55"
22-Oct-18,"26,153.15"
19-Oct-18,"25,561.40"
18-Oct-18,"25,454.55"
16-Oct-18,"25,462.26"
15-Oct-18,"25,445.06"
12-Oct-18,"25,801.49"
11-Oct-18,"25,266.37"
10-Oct-18,"26,193.07"
9-Oct-18,"26,172.91"
8-Oct-18,"26,202.57"
5-Oct-18,"26,572.57"
4-Oct-18,"26,623.87"
3-Oct-18,"27,091.26"
2-Oct-18,"27,126.38"
28-Sep-18,"27,788.52"
27-Sep-18,"27,715.67"
26-Sep-18,"27,816.87"
24-Sep-18,"27,499.39"
21-Sep-18,"27,953.58"
20-Sep-18,"27,477.67"
19-Sep-18,"27,407.37"
18-Sep-18,"27,084.66"
17-Sep-18,"26,932.85"
14-Sep-18,"27,286.41"
13-Sep-18,"27,014.49"
12-Sep-18,"26,345.04"
11-Sep-18,"26,422.55"
10-Sep-18,"26,613.42"
7-Sep-18,"26,973.47"
6-Sep-18,"26,974.82"
5-Sep-18,"27,243.85"
4-Sep-18,"27,973.34"
3-Sep-18,"27,712.54"
31-Aug-18,"27,888.55"
30-Aug-18,"28,164.05"
29-Aug-18,"28,416.44"
28-Aug-18,"28,351.62"
27-Aug-18,"28,271.27"
24-Aug-18,"27,671.87"
23-Aug-18,"27,790.46"
22-Aug-18,"27,927.58"
21-Aug-18,"27,752.79"
20-Aug-18,"27,598.02"
17-Aug-18,"27,213.41"
16-Aug-18,"27,100.06"
