Date,USD-INR price
21-Jun-19,69.615
20-Jun-19,69.52
19-Jun-19,69.65
18-Jun-19,69.61
17-Jun-19,69.85
16-Jun-19,69.781
14-Jun-19,69.833
13-Jun-19,69.531
12-Jun-19,69.375
11-Jun-19,69.385
10-Jun-19,69.535
9-Jun-19,69.355
7-Jun-19,69.355
6-Jun-19,69.165
5-Jun-19,69.385
4-Jun-19,69.291
3-Jun-19,69.171
2-Jun-19,69.58
31-May-19,69.58
30-May-19,69.825
29-May-19,69.845
28-May-19,69.61
27-May-19,69.504
26-May-19,69.37
24-May-19,69.38
23-May-19,69.665
22-May-19,69.65
21-May-19,69.645
20-May-19,69.609
19-May-19,70.291
17-May-19,70.28
16-May-19,70.13
15-May-19,70.249
14-May-19,70.332
13-May-19,70.57
12-May-19,69.933
10-May-19,70.015
9-May-19,70.2
8-May-19,69.72
7-May-19,69.645
6-May-19,69.38
5-May-19,69.178
3-May-19,69.096
2-May-19,69.41
1-May-19,69.545
30-Apr-19,69.647
29-Apr-19,69.817
28-Apr-19,69.852
26-Apr-19,69.85
25-Apr-19,70.17
24-Apr-19,69.96
23-Apr-19,69.77
22-Apr-19,69.7
21-Apr-19,69.37
19-Apr-19,69.407
18-Apr-19,69.395
17-Apr-19,69.431
16-Apr-19,69.53
15-Apr-19,69.395
14-Apr-19,69.171
12-Apr-19,69.19
11-Apr-19,69.02
10-Apr-19,69.15
9-Apr-19,69.28
8-Apr-19,69.555
7-Apr-19,69.17
5-Apr-19,69.17
4-Apr-19,68.98
3-Apr-19,68.45
2-Apr-19,68.92
1-Apr-19,69.205
31-Mar-19,69.44
29-Mar-19,69.185
28-Mar-19,69.19
27-Mar-19,69.1
26-Mar-19,68.996
25-Mar-19,68.89
24-Mar-19,69.171
22-Mar-19,69.17
21-Mar-19,68.81
20-Mar-19,68.79
19-Mar-19,69.015
18-Mar-19,68.625
17-Mar-19,68.963
15-Mar-19,68.963
14-Mar-19,69.365
13-Mar-19,69.529
12-Mar-19,69.625
11-Mar-19,69.85
10-Mar-19,69.997
8-Mar-19,70.011
7-Mar-19,70.116
6-Mar-19,70.08
5-Mar-19,70.49
4-Mar-19,70.91
3-Mar-19,71
1-Mar-19,71
28-Feb-19,70.84
27-Feb-19,71.2
26-Feb-19,70.96
25-Feb-19,70.835
24-Feb-19,71.041
22-Feb-19,71.035
21-Feb-19,71.165
20-Feb-19,71.01
19-Feb-19,71.3
18-Feb-19,71.386
17-Feb-19,71.33
15-Feb-19,71.33
14-Feb-19,71.02
13-Feb-19,70.875
12-Feb-19,70.535
11-Feb-19,71.14
10-Feb-19,71.16
8-Feb-19,71.175
7-Feb-19,71.3
6-Feb-19,71.55
5-Feb-19,71.53
4-Feb-19,71.71
3-Feb-19,71.462
1-Feb-19,71.435
31-Jan-19,70.96
30-Jan-19,71.235
29-Jan-19,71.39
28-Jan-19,71.07
27-Jan-19,70.985
25-Jan-19,70.9
24-Jan-19,71
23-Jan-19,71.19
22-Jan-19,71.26
21-Jan-19,71.188
20-Jan-19,71.24
18-Jan-19,71.21
17-Jan-19,71.05
16-Jan-19,70.98
15-Jan-19,71.1
14-Jan-19,70.76
13-Jan-19,70.38
11-Jan-19,70.398
10-Jan-19,70.42
9-Jan-19,70.56
8-Jan-19,70.14
7-Jan-19,69.803
6-Jan-19,69.535
4-Jan-19,69.55
3-Jan-19,70.11
2-Jan-19,70
1-Jan-19,69.453
31-Dec-18,69.57
30-Dec-18,69.933
28-Dec-18,69.933
27-Dec-18,70.361
26-Dec-18,70.07
25-Dec-18,70.05
24-Dec-18,70.105
23-Dec-18,70.15
21-Dec-18,70.14
20-Dec-18,69.98
19-Dec-18,70.278
18-Dec-18,70.62
17-Dec-18,71.61
16-Dec-18,71.92
14-Dec-18,71.92
13-Dec-18,71.53
12-Dec-18,71.84
11-Dec-18,72.29
10-Dec-18,72.52
9-Dec-18,71.375
7-Dec-18,70.86
6-Dec-18,70.85
5-Dec-18,70.56
4-Dec-18,70.53
3-Dec-18,70.44
2-Dec-18,69.77
30-Nov-18,69.65
29-Nov-18,69.78
28-Nov-18,70.64
27-Nov-18,70.785
26-Nov-18,70.82
25-Nov-18,70.675
23-Nov-18,70.655
22-Nov-18,70.69
21-Nov-18,71.305
20-Nov-18,71.43
19-Nov-18,71.61
18-Nov-18,71.785
16-Nov-18,71.98
15-Nov-18,71.915
14-Nov-18,72.31
13-Nov-18,72.615
12-Nov-18,72.86
11-Nov-18,72.48
9-Nov-18,72.48
8-Nov-18,72.38
7-Nov-18,72.45
6-Nov-18,72.955
5-Nov-18,73.08
4-Nov-18,72.915
2-Nov-18,72.44
1-Nov-18,73.455
31-Oct-18,73.96
30-Oct-18,73.68
29-Oct-18,73.4
28-Oct-18,73.461
26-Oct-18,73.46
25-Oct-18,73.23
24-Oct-18,73.23
23-Oct-18,73.55
22-Oct-18,73.56
21-Oct-18,73.475
19-Oct-18,73.375
18-Oct-18,73.53
17-Oct-18,73.6
16-Oct-18,73.465
15-Oct-18,73.77
14-Oct-18,73.686
12-Oct-18,73.61
11-Oct-18,74.05
10-Oct-18,74.25
9-Oct-18,74.34
8-Oct-18,74.065
7-Oct-18,73.771
5-Oct-18,73.77
4-Oct-18,73.63
3-Oct-18,73.345
2-Oct-18,72.925
1-Oct-18,72.925
30-Sep-18,72.515
28-Sep-18,72.51
27-Sep-18,72.57
26-Sep-18,72.6
25-Sep-18,72.685
24-Sep-18,72.67
23-Sep-18,72.24
21-Sep-18,72.24
20-Sep-18,72.015
19-Sep-18,72.36
18-Sep-18,72.71
17-Sep-18,72.54
16-Sep-18,72.105
14-Sep-18,71.88
13-Sep-18,72.037
12-Sep-18,72.16
11-Sep-18,72.64
10-Sep-18,72.455
9-Sep-18,72.105
7-Sep-18,71.79
6-Sep-18,71.95
5-Sep-18,71.755
4-Sep-18,71.585
3-Sep-18,71.215
2-Sep-18,71.005
31-Aug-18,71.005
30-Aug-18,70.745
29-Aug-18,70.535
28-Aug-18,70.1
27-Aug-18,70.165
