date,open,high,low,close,market_cap,avg_block_size,blocks_size,cost_per_transaction_percent,cost_per_transaction,difficulty,est_transaction_volume_USD,est_transaction_volume,hash_rate,median_confirmation_time,miners_revenue,n_transactions_excl_chains_longer_than_100,n_transactions_excl_popular,n_transactions_per_block,n_transactions,n_unique_addresses,output_volume,total_bitcoins,trade_volume,transaction_fees_USD,transaction_fees,mempool_count_mean,mempool_count_stddev,mempool_count_min,mempool_count_max,mempool_growth_mean,mempool_growth_stddev,mempool_growth_min,mempool_growth_max,mempool_size_mean,mempool_size_stddev,mempool_size_min,mempool_size_max,wallets_created,transactions_per_sec_mean,transactions_per_sec_stddev,transactions_per_sec_min,transactions_per_sec_max,utxo_count_mean,utxo_count_stddev,utxo_count_min,utxo_count_max,news_stories_total,news_stories_positive,news_stories_negative,news_stories_neutral
11/30/2018,4289.09,4322.98,3942.82,4017.27,69904637061,1.209791366,192791.5434,0.328777024,21.39614719,6.6533E+12,1627971420,396401.824,33404486.8,15.8,5352395.992,160899,239622,2476.80198,250157,460122,1854914.423,17401050,566637605.5,167470.5127,40.77812171,12506.88634,7268.117496,1148.5,25999.5,1192.273426,1240.236763,330.65,34815.81667,9080446.386,4728846.68,2123421.5,17425526,747152892,2.934965278,1.123489832,1.183333333,17.7,58319967.38,27106.89859,58281148,58355400,1071,356,549,166
11/29/2018,4269,4413.02,4145.77,4278.85,74451016927,1.202130114,192669.3545,0.6251055,23.5084617,6.6533E+12,925986811.6,217174.9217,34727436.77,14.6,5788394.49,175955,234906,2345.009524,246226,461334,1172440.721,17399787.5,694205696,192178.8646,45.07238045,14334.67106,5847.795686,1118,25378.5,1127.10294,1614.218321,333.9166667,46569.1,10247989.18,3379718.608,2899840.5,15220146.5,746539745,2.758831019,1.163733093,1.283333333,27.91666667,58252488.42,15831.4782,58212951,58269350,1096,389,521,186
11/28/2018,3822.47,4385.9,3822.47,4257.42,74072560088,1.111968441,192543.1309,0.762892176,24.41110311,6.6533E+12,814210952.9,198420.8872,39027024.18,12.96666667,6211551.653,166415,243290,2156.40678,254456,454763,1359972.838,17398475,693105022.1,158957.2299,38.73742361,10174.17751,8270.775203,131,29162.5,1330.786296,1503.144707,139.75,44792.06667,6261637.067,5145082.747,47105.5,15696970,745739267,2.995543981,1.157528665,0.433333333,33.85,58186459.38,13193.95528,58165046,58213488,1187,409,583,195
11/27/2018,3765.95,3862.96,3661.01,3820.72,66468970322,1.071254038,192411.9186,0.730798569,23.39975343,6.6533E+12,859827352,229185.3318,43326611.59,9.9,6283605.988,167856,258224,2049.870229,268533,462321,1256470.047,17397000,769139307.3,140249.0919,37.38312649,6051.012153,4953.254472,108,20766,1366.495579,1323.258857,422.7333333,31485.18333,4810587.053,3767494.911,32801,14381012.5,744649150,3.104930556,0.845081878,1.683333333,17.08333333,58159562.88,9943.16102,58132945,58176825,1239,424,597,218
11/26/2018,4015.07,4107.14,3643.92,3779.13,65739289046,1.186164189,192271.5843,0.741989065,21.74502219,6.6533E+12,753355967,192156.3375,36711861.73,13.88333333,5589818.893,166834,246424,2315.873874,257062,469612,1292170.83,17395362.5,777305525.4,150074.2682,38.27901151,8157.912847,5157.564503,192,20599,1253.584676,1562.819725,286.6833333,39938.33333,5085284.056,3145253.887,63951.5,12431153.5,743664527,2.984594907,1.055253206,1.166666667,27.2,58120822.67,13528.76274,58082636,58135200,1343,454,670,219
11/25/2018,3880.78,4120.87,3585.06,4009.97,69749265801,1.010554047,192139.9201,0.986318746,25.88114693,6.6533E+12,627811214,164197.5411,42003661.62,10.18333333,6192219.69,149951,229446,1883.905512,239256,410529,1067554.804,17393975,854858771.9,122394.9188,32.01112732,4734.845139,3729.755518,84,15881.5,1260.58331,1948.307163,344.7833333,60924.21667,2601056.326,2095458.749,25162.5,8926491,742775272,2.756608796,1.040879418,1.016666667,28.45,58080596.63,9004.488595,58051408,58089396,835,278,473,84
11/24/2018,4347.69,4413.09,3795.16,3880.76,67495633205,0.980274238,192011.5797,1.889935236,31.23436544,6.6533E+12,413195235.3,96229.75124,47295461.51,10.00833333,7809122.345,144174,242809,1748.370629,250017,406860,905769.292,17392387.5,394965144.8,133881.8558,31.17997638,4096.392014,3499.305831,69.5,16278,1323.717697,1263.005431,397.4333333,32618.36667,2302578.805,2257205.674,32305,9390376.5,741990884,2.859479167,0.778625743,1.433333333,12.43333333,58078140.29,15878.30643,58043850,58097235,800,241,463,96
11/23/2018,4360.7,4396.42,4195.68,4347.11,75598851166,1.131096584,191871.4005,0.932480053,25.04066262,6.6533E+12,739181263.3,171530.1397,41342186.64,12.36666667,6892717.835,167797,265806,2202.088,275261,479021,1157067.136,17390600,499912457.7,159377.9909,36.98433712,5744.865278,3822.627162,157.5,16615,1330.678715,1495.002566,428.7666667,41864.21667,3310328.298,2544130.25,58573,11401127.5,741007491,3.191979167,0.874186198,1.566666667,15.58333333,58013025.92,27569.9123,57961561,58043902,1027,329,539,159
11/22/2018,4611.57,4629.64,4365.64,4365.94,75919439809,1.218455311,191730.0134,1.057229878,26.73619707,6.6533E+12,672978504.3,147946.4637,40349974.16,12.73333333,7114929.819,180321,256553,2181.278689,266116,467174,1017073.341,17389037.5,515936600.3,178013.6314,39.13421764,7797.46875,4730.420486,696,24459,1183.394086,1105.134442,338.8666667,26238.13333,7819654.458,4527550.876,1391776.5,22256404.5,739936629,2.848773148,0.940612868,1.266666667,17.21666667,57976698.96,14838.45979,57957383,58003387,990,295,538,157
11/21/2018,4465.54,4675.73,4343.98,4602.17,80020171047,1.213546219,191581.3619,0.59977592,24.22870369,6.6533E+12,1029870319,227159.8635,34727436.77,15.93333333,6176914.177,179672,242752,2428.019048,254942,472551,1309378.217,17387512.5,1192636085,226458.0834,49.95016009,20817.52072,4468.748132,8571,30474.5,1188.305521,1240.549305,365.35,31837.98333,20578662.22,2072490.137,14611456,24497927,738721332,2.952546296,1.03867387,1.533333333,24.65,57956633.92,18716.33233,57930146,57989966,1169,372,597,200
